,Cannizzaro reaction,Formaldehyde aldol addition R R$_1$,Formaldehyde aldol addition R R$_3$,Formaldehyde aldol addition R R$_4$,Formaldehyde aldol addition S R$_1$,Formaldehyde aldol addition S R$_2$,Formaldehyde aldol addition S R$_3$,Formaldehyde aldol addition S R$_4$,deprotonation R$_1$,deprotonation R$_2$,deprotonation R$_3$,deprotonation R$_4$,deprotonation R$_5$,deprotonation R$_6$,enolate protonation R R$_1$,enolate protonation R R$_2$,enolate protonation R R$_3$,enolate protonation R R$_4$,enolate protonation R R$_6$,enolate protonation S R$_2$,enolate protonation S R$_3$,enolate protonation S R$_4$,enolate protonation S R$_6$,monosaccharide-enolate addition anti type 1 A,monosaccharide-enolate addition anti type 1 B,monosaccharide-enolate addition anti type 2 A,monosaccharide-enolate addition anti type 2 B,monosaccharide-enolate addition syn type 1 A,monosaccharide-enolate addition syn type 2 B,retroaldol R$_2$,
FRN059B,0.0,0.4,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.19444444444444445,
FRN060B,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2222222222222222,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.1388888888888889,
FRN051B,0.5,0.2,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.14285714285714285,0.16666666666666666,0.125,0.0,0.0,0.125,0.4,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.2777777777777778,
FRN089A,0.5,0.8,0.5,0.0,0.75,0.6666666666666666,0.5,0.0,0.4444444444444444,0.7142857142857143,0.3333333333333333,0.25,0.0,0.0,0.25,0.8,0.6666666666666666,0.25,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.25,
FRN089B,0.5,0.8,0.5,0.0,1.0,0.3333333333333333,0.5,0.5,0.4444444444444444,0.7142857142857143,0.5,0.25,0.0,0.0,0.0,0.6,0.6666666666666666,0.25,0.3333333333333333,0.5,0.6666666666666666,0.0,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.25,
FRN089C,0.5,0.8,0.0,0.0,0.75,0.3333333333333333,0.5,0.5,0.4444444444444444,0.42857142857142855,0.5,0.25,0.0,0.0,0.125,0.6,0.6666666666666666,0.0,0.3333333333333333,0.5,0.6666666666666666,0.0,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222,
FRN089D,0.5,0.8,0.5,0.0,0.75,0.3333333333333333,0.5,0.0,0.4444444444444444,0.42857142857142855,0.5,0.25,0.0,0.0,0.0,0.6,0.6666666666666666,0.25,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222,
FRN055B,0.0,0.2,0.5,0.0,0.25,0.6666666666666666,0.5,0.0,0.2222222222222222,0.14285714285714285,0.16666666666666666,0.25,0.0,0.5,0.125,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.25,
FRN104A,0.5,0.8,1.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.2222222222222222,0.5714285714285714,0.3333333333333333,0.375,0.0,0.0,0.0,0.6,0.3333333333333333,0.25,0.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.25,
FRN104B,0.0,0.2,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,0.027777777777777776,
FRN106C,0.5,0.6,0.0,0.0,0.25,0.3333333333333333,0.0,0.5,0.5555555555555556,0.42857142857142855,0.3333333333333333,0.125,0.0,0.0,0.125,0.4,0.0,0.25,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.3055555555555556,
FRN106D,0.5,0.6,0.0,0.0,0.25,0.3333333333333333,0.5,0.0,0.5555555555555556,0.5714285714285714,0.5,0.25,0.5,0.0,0.375,0.6,0.6666666666666666,0.5,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.3888888888888889,
FRN106E,0.5,0.6,0.5,0.0,0.5,0.3333333333333333,0.0,0.0,0.5555555555555556,0.2857142857142857,0.5,0.25,0.0,0.0,0.125,0.4,0.3333333333333333,0.5,0.6666666666666666,0.5,0.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.6666666666666666,0.3055555555555556,
FRN105B,0.0,0.4,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.125,0.0,0.0,0.25,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.1388888888888889,
FRN105A,0.5,0.4,0.5,0.0,0.5,0.3333333333333333,0.0,0.0,0.2222222222222222,0.2857142857142857,0.16666666666666666,0.125,0.0,0.0,0.125,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.08333333333333333,
FRN103,0.0,0.2,0.5,0.0,0.5,0.3333333333333333,0.5,0.5,0.2222222222222222,0.2857142857142857,0.3333333333333333,0.125,0.0,0.0,0.25,0.4,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.5,0.0,0.3333333333333333,0.16666666666666666,0.1111111111111111,
FRN071D,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.16666666666666666,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.6666666666666666,0.0,0.1388888888888889,
FRN071C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,
FRN071A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.05555555555555555,
FRN071B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.08333333333333333,
FRN088C,0.75,0.8,0.5,0.0,0.5,0.3333333333333333,0.5,0.5,0.5555555555555556,0.5714285714285714,0.3333333333333333,0.25,0.0,0.0,0.125,0.8,0.6666666666666666,0.25,0.3333333333333333,0.5,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.3611111111111111,
FRN088B,0.5,0.6,0.5,0.0,0.25,0.3333333333333333,0.5,0.5,0.5555555555555556,0.42857142857142855,0.5,0.125,0.0,0.0,0.125,0.6,0.6666666666666666,0.0,0.6666666666666666,0.5,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.3055555555555556,
FRN088A,0.5,0.6,0.5,0.0,0.5,0.3333333333333333,0.5,0.0,0.4444444444444444,0.42857142857142855,0.3333333333333333,0.125,0.25,0.0,0.25,0.6,0.6666666666666666,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.2777777777777778,
FRN087D,0.5,0.6,0.5,0.0,0.5,0.3333333333333333,0.5,0.0,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.125,0.0,0.0,0.125,0.4,0.6666666666666666,0.25,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.5,0.5,0.0,0.3333333333333333,0.3055555555555556,
FRN087E,0.5,0.4,0.5,0.0,0.75,0.3333333333333333,0.5,0.0,0.2222222222222222,0.7142857142857143,0.5,0.125,0.0,0.0,0.125,0.4,0.6666666666666666,0.25,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.5,0.5,0.0,0.16666666666666666,0.3055555555555556,
FRN087C,0.25,0.2,0.5,0.0,0.5,0.3333333333333333,0.5,0.0,0.2222222222222222,0.42857142857142855,0.3333333333333333,0.125,0.0,0.0,0.0,0.4,0.6666666666666666,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.5,0.3333333333333333,0.0,0.3333333333333333,0.2222222222222222,
FRN087A,0.5,0.2,0.5,0.0,0.5,0.3333333333333333,0.5,0.0,0.2222222222222222,0.42857142857142855,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.6666666666666666,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.5,0.5,0.0,0.16666666666666666,0.25,
FRN087B,0.5,0.2,0.5,0.0,0.5,0.3333333333333333,0.5,0.0,0.2222222222222222,0.5714285714285714,0.3333333333333333,0.125,0.0,0.0,0.125,0.4,0.6666666666666666,0.25,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.5,0.5,0.0,0.16666666666666666,0.2777777777777778,
FRN077A,0.25,0.4,0.5,0.5,0.0,0.0,0.0,0.5,0.5555555555555556,0.0,0.16666666666666666,0.0,0.0,0.0,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5,0.3055555555555556,
FRN077D,0.25,0.6,0.5,0.0,0.0,0.3333333333333333,0.0,0.5,0.5555555555555556,0.2857142857142857,0.3333333333333333,0.125,0.0,0.5,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,
FRN077B,0.0,0.4,0.5,0.0,0.25,0.3333333333333333,0.0,0.5,0.3333333333333333,0.42857142857142855,0.5,0.0,0.25,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,0.2777777777777778,
FRN077C,0.25,0.6,0.5,0.0,0.25,0.3333333333333333,0.0,0.5,0.3333333333333333,0.42857142857142855,0.5,0.0,0.25,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,0.2777777777777778,
FRN106A,1.0,0.8,0.5,0.0,0.75,0.3333333333333333,0.5,0.5,0.5555555555555556,0.7142857142857143,0.5,0.125,0.0,0.0,0.25,0.4,0.3333333333333333,0.25,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,
FRN106B,0.5,0.8,0.5,0.0,0.75,0.3333333333333333,0.5,0.5,0.5555555555555556,0.7142857142857143,0.5,0.125,0.75,0.0,0.375,0.4,0.3333333333333333,0.25,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3611111111111111,
FRN091,0.25,0.8,0.5,0.0,0.75,0.3333333333333333,0.5,0.5,0.4444444444444444,0.5714285714285714,0.5,0.125,0.0,0.0,0.25,0.6,1.0,0.25,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.0,0.2777777777777778,
FRN062D,0.0,0.2,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.125,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1388888888888889,
FRN062B,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.2222222222222222,0.0,0.0,0.125,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.08333333333333333,
FRN062C,0.0,0.2,0.0,0.0,0.25,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,0.0,0.125,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,0.19444444444444445,
